Latitude_Min,Latitude_Max,Longitude_Min,Longitude_Max,Average_Fe_Si_Ratio
-69.80214344600185,-69.38994229183862,78.94331109108737,80.1257006394485,0.0483348745266195
-69.80214344600185,-69.38994229183862,80.1257006394485,81.30809018780963,0.0483348745266195
-69.38994229183862,-68.9777411376754,-75.6013655847272,-74.44138075789084,0.05180214573876638
-69.38994229183862,-68.9777411376754,-74.44138075789084,-73.28139593105448,0.05180214573876638
-69.38994229183862,-68.9777411376754,-73.28139593105448,-72.12141110421811,0.05180214573876638
-69.38994229183862,-68.9777411376754,-72.12141110421811,-70.96142627738175,0.05180214573876638
-69.38994229183862,-68.9777411376754,77.5166315576729,78.67661638450926,0.0483348745266195
-69.38994229183862,-68.9777411376754,78.67661638450926,79.83660121134562,0.0483348745266195
-69.38994229183862,-68.9777411376754,79.83660121134562,80.99658603818199,0.0483348745266195
-68.9777411376754,-68.56553998351217,-75.26064741469645,-74.12217619094315,0.05180214573876638
-68.9777411376754,-68.56553998351217,-74.12217619094315,-72.98370496718985,0.05180214573876638
-68.9777411376754,-68.56553998351217,-72.98370496718985,-71.84523374343655,0.05180214573876638
-68.9777411376754,-68.56553998351217,-71.84523374343655,-70.70676251968325,0.05180214573876638
-68.9777411376754,-68.56553998351217,-43.383453149604065,-42.244981925850766,0.0024993263294122
-68.9777411376754,-68.56553998351217,-42.244981925850766,-41.10651070209747,0.0024993263294122
-68.9777411376754,-68.56553998351217,-41.10651070209747,-39.96803947834417,0.0024993263294122
-68.9777411376754,-68.56553998351217,77.29449656824568,78.43296779199898,0.053465362297005
-68.9777411376754,-68.56553998351217,78.43296779199898,79.57143901575228,0.053465362297005
-68.9777411376754,-68.56553998351217,79.57143901575228,80.70991023950558,0.053465362297005
-68.9777411376754,-68.56553998351217,80.70991023950558,81.84838146325887,0.0483348745266195
-68.56553998351217,-68.15333882934894,-76.04479597154685,-74.92699807876778,0.05180214573876638
-68.56553998351217,-68.15333882934894,-74.92699807876778,-73.80920018598871,0.05180214573876638
-68.56553998351217,-68.15333882934894,-73.80920018598871,-72.69140229320965,0.05180214573876638
-68.56553998351217,-68.15333882934894,-72.69140229320965,-71.57360440043058,0.05180214573876638
-68.56553998351217,-68.15333882934894,-71.57360440043058,-70.45580650765152,0.05180214573876638
-68.56553998351217,-68.15333882934894,-43.62865708095393,-42.51085918817486,0.0024993263294122
-68.56553998351217,-68.15333882934894,-42.51085918817486,-41.393061295395796,0.0024993263294122
-68.56553998351217,-68.15333882934894,-41.393061295395796,-40.27526340261673,0.0024993263294122
-68.56553998351217,-68.15333882934894,2.201056522987784,3.3188544157668503,0.014667340808251876
-68.56553998351217,-68.15333882934894,3.3188544157668503,4.436652308545916,0.014667340808251876
-68.56553998351217,-68.15333882934894,4.436652308545916,5.554450201324983,0.014667340808251876
-68.56553998351217,-68.15333882934894,77.09351533918522,78.21131323196425,0.05251114618470545
-68.56553998351217,-68.15333882934894,78.21131323196425,79.32911112474335,0.05251114618470545
-68.56553998351217,-68.15333882934894,79.32911112474335,80.44690901752244,0.05251114618470545
-68.56553998351217,-68.15333882934894,80.44690901752244,81.56470691030148,0.06335856911295464
-68.15333882934894,-67.74113767518571,-75.6978098715878,-74.5998920807624,0.05180214573876638
-68.15333882934894,-67.74113767518571,-74.5998920807624,-73.50197428993701,0.05180214573876638
-68.15333882934894,-67.74113767518571,-73.50197428993701,-72.40405649911162,0.05180214573876638
-68.15333882934894,-67.74113767518571,-72.40405649911162,-71.30613870828623,0.05180214573876638
-68.15333882934894,-67.74113767518571,-43.858193937651436,-42.760276146826044,0.0024993263294122
-68.15333882934894,-67.74113767518571,-42.760276146826044,-41.66235835600065,0.0024993263294122
-68.15333882934894,-67.74113767518571,-41.66235835600065,-40.56444056517526,0.0024993263294122
-68.15333882934894,-67.74113767518571,2.2543532770150136,3.3522710678404053,0.014667340808251876
-68.15333882934894,-67.74113767518571,3.3522710678404053,4.450188858665797,0.014667340808251876
-68.15333882934894,-67.74113767518571,4.450188858665797,5.548106649491189,0.014667340808251876
-68.15333882934894,-67.74113767518571,76.91276305314165,78.01068084396707,0.04727131908299155
-68.15333882934894,-67.74113767518571,78.01068084396707,79.10859863479243,0.04727131908299155
-68.15333882934894,-67.74113767518571,79.10859863479243,80.20651642561779,0.04727131908299155
-68.15333882934894,-67.74113767518571,80.20651642561779,81.30443421644321,0.04727131908299155
-68.15333882934894,-67.74113767518571,173.5295286457761,174.62744643660153,0.11388158152513168
-68.15333882934894,-67.74113767518571,174.62744643660153,175.7253642274269,0.11388158152513168
-68.15333882934894,-67.74113767518571,175.7253642274269,176.82328201825226,0.11388158152513168
-67.74113767518571,-67.32893652102248,-42.994009199263445,-41.91522187012379,0.0024993263294122
-67.74113767518571,-67.32893652102248,-41.91522187012379,-40.83643454098413,0.0024993263294122
-67.74113767518571,-67.32893652102248,-40.83643454098413,-39.75764721184447,0.0024993263294122
-67.74113767518571,-67.32893652102248,1.2362712954625295,2.3150586246021874,0.014667340808251876
-67.74113767518571,-67.32893652102248,2.3150586246021874,3.3938459537418453,0.014667340808251876
-67.74113767518571,-67.32893652102248,3.3938459537418453,4.472633282881503,0.014667340808251876
-67.74113767518571,-67.32893652102248,4.472633282881503,5.551420612021161,0.014667340808251876
-67.74113767518571,-67.32893652102248,77.83017166437821,78.9089589935179,0.04727131908299155
-67.74113767518571,-67.32893652102248,78.9089589935179,79.98774632265759,0.04727131908299155
-67.74113767518571,-67.32893652102248,79.98774632265759,81.06653365179722,0.04727131908299155
-67.74113767518571,-67.32893652102248,173.8422439578078,174.92103128694748,0.11388158152513168
-67.74113767518571,-67.32893652102248,174.92103128694748,175.9998186160871,0.11388158152513168
-67.32893652102248,-66.91673536685926,-43.2127779869586,-42.152411924842,0.0024993263294122
-67.32893652102248,-66.91673536685926,-42.152411924842,-41.0920458627254,0.0024993263294122
-67.32893652102248,-66.91673536685926,-41.0920458627254,-40.0316798006088,0.0024993263294122
-67.32893652102248,-66.91673536685926,1.322596621938601,2.382962684055201,0.014667340808251876
